Date;Price;Open;High;Low;Change %;ChangeLN
01.11.2021;1,1606;1,1559;1,161;1,1545;0,39%;
29.10.2021;1,1561;1,168;1,169;1,1535;-0,0101;-0,0039
28.10.2021;1,1679;1,1605;1,1693;1,1581;0,0065;0,0102
27.10.2021;1,1604;1,1597;1,1626;1,1585;0,0008;-0,0064
26.10.2021;1,1595;1,1607;1,1626;1,1585;-0,0009;-0,0008
25.10.2021;1,1606;1,1644;1,1666;1,159;-0,0035;0,0009
22.10.2021;1,1647;1,1623;1,1656;1,1621;0,0022;0,0035
21.10.2021;1,1621;1,165;1,1668;1,1619;-0,0024;-0,0022
20.10.2021;1,1649;1,1634;1,1659;1,1616;0,0015;0,0024
19.10.2021;1,1632;1,1611;1,167;1,1608;0,0020;-0,0015
18.10.2021;1,1609;1,1597;1,1624;1,1571;0,0008;-0,0020
15.10.2021;1,16;1,1599;1,1621;1,1588;0,0005;-0,0008
14.10.2021;1,1594;1,1593;1,1625;1,1583;0,0002;-0,0005
13.10.2021;1,1592;1,1528;1,1598;1,1527;0,0056;-0,0002
12.10.2021;1,1527;1,1555;1,1571;1,1524;-0,0021;-0,0056
11.10.2021;1,1551;1,1571;1,1588;1,1549;-0,0014;0,0021
08.10.2021;1,1567;1,1551;1,1586;1,154;0,0015;0,0014
07.10.2021;1,155;1,1556;1,1573;1,1547;-0,0005;-0,0015
06.10.2021;1,1556;1,1603;1,1605;1,1529;-0,0034;0,0005
05.10.2021;1,1596;1,1623;1,1623;1,158;-0,0022;0,0035
04.10.2021;1,1621;1,1593;1,1641;1,1587;0,0023;0,0022
01.10.2021;1,1594;1,1582;1,1608;1,1563;0,0011;-0,0023
30.09.2021;1,1581;1,1596;1,1611;1,1562;-0,0012;-0,0011
29.09.2021;1,1595;1,1683;1,1691;1,1589;-0,0074;0,0012
28.09.2021;1,1681;1,1696;1,1704;1,1667;-0,0011;0,0074
27.09.2021;1,1694;1,1724;1,1728;1,1684;-0,0017;0,0011
24.09.2021;1,1714;1,1738;1,1748;1,17;-0,0019;0,0017
23.09.2021;1,1736;1,1686;1,1751;1,1683;0,0043;0,0019
22.09.2021;1,1686;1,1726;1,1757;1,1683;-0,0032;-0,0043
21.09.2021;1,1723;1,1726;1,1751;1,1715;-0,0002;0,0032
20.09.2021;1,1725;1,1732;1,1737;1,17;0,0000;0,0002
17.09.2021;1,1725;1,1762;1,1789;1,1724;-0,0033;0,0000
16.09.2021;1,1764;1,1816;1,1822;1,1751;-0,0043;0,0033
15.09.2021;1,1815;1,1806;1,1833;1,1798;0,0011;0,0043
14.09.2021;1,1802;1,1812;1,1846;1,1799;-0,0005;-0,0011
13.09.2021;1,1808;1,1813;1,1818;1,1769;-0,0005;0,0005
10.09.2021;1,1814;1,1826;1,1852;1,1809;-0,0009;0,0005
09.09.2021;1,1825;1,1817;1,1842;1,1804;0,0010;0,0009
08.09.2021;1,1813;1,184;1,1852;1,1802;-0,0022;-0,0010
07.09.2021;1,1839;1,187;1,1885;1,1837;-0,0024;0,0022
06.09.2021;1,1868;1,1879;1,1888;1,1855;-0,0012;0,0024
03.09.2021;1,1882;1,1875;1,191;1,1866;0,0008;0,0012
02.09.2021;1,1873;1,1839;1,1877;1,1834;0,0030;-0,0008
01.09.2021;1,1837;1,181;1,1858;1,1793;0,0025;-0,0030
31.08.2021;1,1807;1,1797;1,1848;1,1795;0,0010;-0,0025
30.08.2021;1,1795;1,1793;1,181;1,1782;0,0002;-0,0010
27.08.2021;1,1793;1,1752;1,1803;1,1734;0,0037;-0,0002
26.08.2021;1,175;1,1772;1,1781;1,1746;-0,0017;-0,0037
25.08.2021;1,177;1,1754;1,1775;1,1725;0,0014;0,0017
24.08.2021;1,1753;1,1746;1,1766;1,1726;0,0009;-0,0014
23.08.2021;1,1743;1,1694;1,1751;1,1691;0,0040;-0,0009
20.08.2021;1,1696;1,1675;1,1705;1,1664;0,0019;-0,0040
19.08.2021;1,1674;1,1711;1,1717;1,1666;-0,0031;-0,0019
18.08.2021;1,171;1,171;1,1743;1,1694;0,0002;0,0031
17.08.2021;1,1708;1,1776;1,1786;1,1708;-0,0059;-0,0002
16.08.2021;1,1777;1,1794;1,1802;1,1767;-0,0012;0,0059
13.08.2021;1,1791;1,173;1,1805;1,1727;0,0055;0,0012
12.08.2021;1,1727;1,1738;1,1749;1,1724;-0,0009;-0,0054
11.08.2021;1,1737;1,172;1,1753;1,1705;0,0016;0,0009
10.08.2021;1,1718;1,1738;1,1744;1,171;-0,0016;-0,0016
09.08.2021;1,1737;1,1762;1,1769;1,1734;-0,0020;0,0016
06.08.2021;1,176;1,1834;1,1837;1,1753;-0,0061;0,0020
05.08.2021;1,1832;1,1837;1,1858;1,1827;-0,0003;0,0061
04.08.2021;1,1835;1,1864;1,1901;1,1832;-0,0021;0,0003
03.08.2021;1,186;1,1868;1,1894;1,1853;-0,0006;0,0021
02.08.2021;1,1867;1,1864;1,1897;1,1858;-0,0003;0,0006
30.07.2021;1,187;1,1888;1,191;1,1851;-0,0013;0,0003
29.07.2021;1,1886;1,1845;1,1894;1,184;0,0037;0,0013
28.07.2021;1,1842;1,1817;1,1851;1,1773;0,0024;-0,0037
27.07.2021;1,1814;1,1804;1,1841;1,1769;0,0013;-0,0024
26.07.2021;1,1799;1,1778;1,1818;1,1763;0,0024;-0,0013
23.07.2021;1,1771;1,1769;1,1788;1,1753;0,0001;-0,0024
22.07.2021;1,177;1,1793;1,1831;1,1757;-0,0019;-0,0001
21.07.2021;1,1792;1,1782;1,1805;1,1752;0,0011;0,0019
20.07.2021;1,1779;1,1801;1,1805;1,1755;-0,0016;-0,0011
19.07.2021;1,1798;1,1808;1,1825;1,1763;-0,0006;0,0016
16.07.2021;1,1805;1,1814;1,1823;1,1791;-0,0006;0,0006
15.07.2021;1,1812;1,1837;1,1852;1,1796;-0,0019;0,0006
14.07.2021;1,1835;1,1776;1,1839;1,1772;0,0052;0,0019
13.07.2021;1,1774;1,1862;1,1876;1,1772;-0,0072;-0,0052
12.07.2021;1,1859;1,1872;1,1881;1,1836;-0,0012;0,0072
